0 19
0.01 24
0.02 53
0.03 46
0.04 71
0.05 103
0.06 71
0.07 55
0.08 71
0.09 58
0.1 58
0.11 69
0.12 57
0.13 69
0.14 65
0.15 59
0.16 76
0.17 64
0.18 83
0.19 73
0.2 73
0.21 82
0.22 67
0.23 89
0.24 69
0.25 96
0.26 68
0.27 92
0.28 80
0.29 93
0.3 90
0.31 91
0.32 95
0.33 98
0.34 89
0.35 119
0.36 101
0.37 112
0.38 105
0.39 119
0.4 110
0.41 105
0.42 88
0.43 101
0.44 85
0.45 90
0.46 62
0.47 79
0.48 57
0.49 90
0.5 63
0.51 83
0.52 68
0.53 78
0.54 72
0.55 86
0.56 83
0.57 112
0.58 93
0.59 78
0.6 66
0.61 67
0.62 63
0.63 73
0.64 62
0.65 74
0.66 60
0.67 77
0.68 76
0.69 73
0.7 74
0.71 80
0.72 73
0.73 83
0.74 83
0.75 88
0.76 91
0.77 82
0.78 93
0.79 70
0.8 66
0.81 51
0.82 59
0.83 44
0.84 49
0.85 37
0.86 44
0.87 24
0.88 23
0.89 7
0.9 21
0.91 8
0.92 20
0.93 9
0.94 15
0.95 12
0.96 8
0.97 16
0.98 12
0.99 9
